,Open,High,Low,Close,Volume
2023-10-31,15655.57826084921,16990.84834425897,15006.49433659894,16549.22468666339,20454535.0
2023-11-30,15655.57826084921,16990.84834425897,15006.49433659894,16549.22468666339,20454535.0
2023-12-31,15655.57826084921,16990.84834425897,15006.49433659894,16549.22468666339,20454535.0
2024-01-31,15655.57826084921,16990.84834425897,15006.49433659894,16549.22468666339,20454535.0
2024-02-29,15655.57826084921,16990.84834425897,15006.49433659894,16549.22468666339,20454535.0
2024-03-31,15655.57826084921,16990.84834425897,15006.49433659894,16549.22468666339,20454535.0
2024-04-30,15655.57826084921,16990.84834425897,15006.49433659894,16549.22468666339,20454535.0
2024-05-31,15655.57826084921,16990.84834425897,15006.49433659894,16549.22468666339,20454535.0
2024-06-30,15655.57826084921,16990.84834425897,15006.49433659894,16549.22468666339,20454535.0
2024-07-31,15655.57826084921,16990.84834425897,15006.49433659894,16549.22468666339,20454535.0
2024-08-31,15655.57826084921,16990.84834425897,15006.49433659894,16549.22468666339,20454535.0
2024-09-30,15655.57826084921,16990.84834425897,15006.49433659894,16549.22468666339,20454535.0
2024-10-31,15655.57826084921,16990.84834425897,15006.49433659894,16549.22468666339,20454535.0
