,Open,High,Low,Close,Volume
2023-10-31,15262.672276189369,15831.599047041727,13944.68542764932,15170.000358979663,14258887.0
2023-11-30,15262.672276189369,15831.599047041727,13944.68542764932,15170.000358979663,14258887.0
2023-12-31,15262.672276189369,15831.599047041727,13944.68542764932,15170.000358979663,14258887.0
2024-01-31,15262.672276189369,15831.599047041727,13944.68542764932,15170.000358979663,14258887.0
2024-02-29,15262.672276189369,15831.599047041727,13944.68542764932,15170.000358979663,14258887.0
2024-03-31,15432.536296234015,19798.066495529823,8926.242863001404,9437.355122455618,157689846.0
2024-04-30,15432.536296234015,19798.066495529823,8926.242863001404,9437.355122455618,157689846.0
2024-05-31,15432.536296234015,19798.066495529823,8926.242863001404,9437.355122455618,157689846.0
2024-06-30,15432.536296234015,19798.066495529823,8926.242863001404,9437.355122455618,157689846.0
2024-07-31,15432.536296234015,19798.066495529823,8926.242863001404,9437.355122455618,157689846.0
2024-08-31,9143.496462623561,10355.296472499082,6896.218676557931,9619.317148594158,166711499.0
2024-09-30,9143.496462623561,10355.296472499082,6896.218676557931,9619.317148594158,166711499.0
2024-10-31,9143.496462623561,10355.296472499082,6896.218676557931,9619.317148594158,166711499.0
